leaveId,employeeId,leaveType,startDate,endDate,reason,status,approvedBy
LR_E0161_01_2023,E0161,ANNUAL,2023-01-10,2023-01-11,Leave request,PENDING,
LR_E0162_01_2023,E0162,SICK,2023-01-12,2023-01-12,Leave request,PENDING,
LR_E0186_01_2023,E0186,SICK,2023-01-07,2023-01-09,Leave request,PENDING,
LR_E0191_01_2023,E0191,SICK,2023-01-09,2023-01-11,Leave request,PENDING,
LR_E0195_01_2023,E0195,ANNUAL,2023-01-20,2023-01-20,Leave request,PENDING,
LR_E0225_01_2023,E0225,SICK,2023-01-03,2023-01-05,Leave request,PENDING,
LR_E0230_01_2023,E0230,SICK,2023-01-20,2023-01-22,Leave request,PENDING,
LR_E0250_01_2023,E0250,SICK,2023-01-20,2023-01-21,Leave request,PENDING,
LR_E0263_01_2023,E0263,SICK,2023-01-07,2023-01-07,Leave request,PENDING,
LR_E0302_01_2023,E0302,ANNUAL,2023-01-11,2023-01-12,Leave request,PENDING,
LR_E0319_01_2023,E0319,SICK,2023-01-09,2023-01-09,Leave request,PENDING,
LR_E0324_01_2023,E0324,SICK,2023-01-15,2023-01-17,Leave request,PENDING,
LR_E0352_01_2023,E0352,ANNUAL,2023-01-10,2023-01-11,Leave request,PENDING,
LR_E0374_01_2023,E0374,SICK,2023-01-08,2023-01-08,Leave request,PENDING,
LR_E0379_01_2023,E0379,ANNUAL,2023-01-02,2023-01-03,Leave request,PENDING,
LR_E0395_01_2023,E0395,ANNUAL,2023-01-20,2023-01-22,Leave request,PENDING,
LR_E0417_01_2023,E0417,ANNUAL,2023-01-03,2023-01-04,Leave request,PENDING,
LR_E0419_01_2023,E0419,ANNUAL,2023-01-11,2023-01-13,Leave request,PENDING,
LR_E0421_01_2023,E0421,SICK,2023-01-20,2023-01-22,Leave request,PENDING,
LR_E0425_01_2023,E0425,ANNUAL,2023-01-18,2023-01-19,Leave request,PENDING,
LR_E0435_01_2023,E0435,SICK,2023-01-13,2023-01-13,Leave request,PENDING,
LR_E0439_01_2023,E0439,SICK,2023-01-13,2023-01-15,Leave request,PENDING,
LR_E0440_01_2023,E0440,ANNUAL,2023-01-09,2023-01-11,Leave request,PENDING,
LR_E0452_01_2023,E0452,SICK,2023-01-18,2023-01-18,Leave request,PENDING,
LR_E0459_01_2023,E0459,ANNUAL,2023-01-06,2023-01-08,Leave request,PENDING,
LR_E0469_01_2023,E0469,ANNUAL,2023-01-15,2023-01-15,Leave request,PENDING,
LR_E0483_01_2023,E0483,ANNUAL,2023-01-11,2023-01-13,Leave request,PENDING,
LR_E0521_01_2023,E0521,ANNUAL,2023-01-03,2023-01-04,Leave request,PENDING,
LR_E0530_01_2023,E0530,SICK,2023-01-01,2023-01-03,Leave request,PENDING,
LR_E0532_01_2023,E0532,ANNUAL,2023-01-14,2023-01-15,Leave request,PENDING,
LR_E0545_01_2023,E0545,ANNUAL,2023-01-18,2023-01-19,Leave request,PENDING,
LR_E0546_01_2023,E0546,ANNUAL,2023-01-19,2023-01-20,Leave request,PENDING,
LR_E0553_01_2023,E0553,SICK,2023-01-04,2023-01-05,Leave request,PENDING,
LR_E0571_01_2023,E0571,SICK,2023-01-08,2023-01-10,Leave request,PENDING,
LR_E0577_01_2023,E0577,ANNUAL,2023-01-01,2023-01-01,Leave request,PENDING,
LR_E0581_01_2023,E0581,ANNUAL,2023-01-09,2023-01-09,Leave request,PENDING,
LR_E0585_01_2023,E0585,ANNUAL,2023-01-17,2023-01-18,Leave request,PENDING,
LR_E0590_01_2023,E0590,SICK,2023-01-13,2023-01-13,Leave request,PENDING,
LR_E0601_01_2023,E0601,SICK,2023-01-19,2023-01-19,Leave request,PENDING,
LR_E0607_01_2023,E0607,ANNUAL,2023-01-10,2023-01-10,Leave request,PENDING,
LR_E0614_01_2023,E0614,SICK,2023-01-19,2023-01-19,Leave request,PENDING,
LR_E0626_01_2023,E0626,SICK,2023-01-18,2023-01-20,Leave request,PENDING,
LR_E0631_01_2023,E0631,ANNUAL,2023-01-20,2023-01-21,Leave request,PENDING,
LR_E0640_01_2023,E0640,ANNUAL,2023-01-17,2023-01-18,Leave request,PENDING,
LR_E0649_01_2023,E0649,ANNUAL,2023-01-06,2023-01-08,Leave request,PENDING,
LR_E0662_01_2023,E0662,SICK,2023-01-12,2023-01-14,Leave request,PENDING,
LR_E0668_01_2023,E0668,ANNUAL,2023-01-17,2023-01-17,Leave request,PENDING,
LR_E0674_01_2023,E0674,SICK,2023-01-01,2023-01-02,Leave request,PENDING,
LR_E0684_01_2023,E0684,ANNUAL,2023-01-10,2023-01-10,Leave request,PENDING,
LR_E0685_01_2023,E0685,ANNUAL,2023-01-09,2023-01-10,Leave request,PENDING,
LR_E0688_01_2023,E0688,ANNUAL,2023-01-16,2023-01-16,Leave request,PENDING,
LR_E0699_01_2023,E0699,SICK,2023-01-19,2023-01-21,Leave request,PENDING,
LR_E0714_01_2023,E0714,SICK,2023-01-12,2023-01-12,Leave request,PENDING,
LR_E0725_01_2023,E0725,ANNUAL,2023-01-06,2023-01-07,Leave request,PENDING,
LR_E0746_01_2023,E0746,SICK,2023-01-20,2023-01-22,Leave request,PENDING,
LR_E0749_01_2023,E0749,SICK,2023-01-02,2023-01-04,Leave request,PENDING,
LR_E0776_01_2023,E0776,SICK,2023-01-12,2023-01-12,Leave request,PENDING,
LR_E0801_01_2023,E0801,ANNUAL,2023-01-20,2023-01-20,Leave request,PENDING,
LR_E0805_01_2023,E0805,ANNUAL,2023-01-07,2023-01-09,Leave request,PENDING,
LR_E0818_01_2023,E0818,ANNUAL,2023-01-16,2023-01-17,Leave request,PENDING,
LR_E0833_01_2023,E0833,ANNUAL,2023-01-14,2023-01-16,Leave request,PENDING,
LR_E0835_01_2023,E0835,SICK,2023-01-10,2023-01-12,Leave request,PENDING,
LR_E0845_01_2023,E0845,SICK,2023-01-06,2023-01-08,Leave request,PENDING,
LR_E0846_01_2023,E0846,ANNUAL,2023-01-13,2023-01-13,Leave request,PENDING,
LR_E0855_01_2023,E0855,SICK,2023-01-02,2023-01-04,Leave request,PENDING,
LR_E0870_01_2023,E0870,SICK,2023-01-09,2023-01-09,Leave request,PENDING,
LR_E0877_01_2023,E0877,SICK,2023-01-15,2023-01-15,Leave request,PENDING,
LR_E0881_01_2023,E0881,ANNUAL,2023-01-19,2023-01-19,Leave request,PENDING,
LR_E0898_01_2023,E0898,SICK,2023-01-18,2023-01-20,Leave request,PENDING,
LR_E0906_01_2023,E0906,SICK,2023-01-06,2023-01-08,Leave request,PENDING,
LR_E0923_01_2023,E0923,ANNUAL,2023-01-05,2023-01-06,Leave request,PENDING,
LR_E0941_01_2023,E0941,SICK,2023-01-20,2023-01-22,Leave request,PENDING,
LR_E0952_01_2023,E0952,SICK,2023-01-20,2023-01-22,Leave request,PENDING,
LR_E0954_01_2023,E0954,SICK,2023-01-06,2023-01-06,Leave request,PENDING,
LR_E0963_01_2023,E0963,ANNUAL,2023-01-10,2023-01-12,Leave request,PENDING,
LR_E0968_01_2023,E0968,ANNUAL,2023-01-08,2023-01-10,Leave request,PENDING,
LR_E0972_01_2023,E0972,SICK,2023-01-15,2023-01-15,Leave request,PENDING,
LR_E0979_01_2023,E0979,ANNUAL,2023-01-20,2023-01-22,Leave request,PENDING,
LR_E0986_01_2023,E0986,ANNUAL,2023-01-02,2023-01-02,Leave request,PENDING,
LR_E0987_01_2023,E0987,ANNUAL,2023-01-08,2023-01-09,Leave request,PENDING,
LR_E0991_01_2023,E0991,ANNUAL,2023-01-11,2023-01-12,Leave request,PENDING,
LR_E1029_01_2023,E1029,ANNUAL,2023-01-04,2023-01-06,Leave request,PENDING,
LR_E1041_01_2023,E1041,ANNUAL,2023-01-01,2023-01-03,Leave request,PENDING,
LR_E1090_01_2023,E1090,ANNUAL,2023-01-04,2023-01-04,Leave request,PENDING,
LR_E1091_01_2023,E1091,SICK,2023-01-10,2023-01-10,Leave request,PENDING,
LR_E1108_01_2023,E1108,ANNUAL,2023-01-06,2023-01-07,Leave request,PENDING,
LR_E1110_01_2023,E1110,SICK,2023-01-10,2023-01-10,Leave request,PENDING,
LR_E1154_01_2023,E1154,SICK,2023-01-04,2023-01-04,Leave request,PENDING,
LR_E1169_01_2023,E1169,SICK,2023-01-13,2023-01-14,Leave request,PENDING,
LR_E1179_01_2023,E1179,SICK,2023-01-06,2023-01-07,Leave request,PENDING,
LR_E1192_01_2023,E1192,ANNUAL,2023-01-08,2023-01-10,Leave request,PENDING,
LR_E0012_02_2023,E0012,ANNUAL,2023-02-17,2023-02-18,Leave request,PENDING,
LR_E0017_02_2023,E0017,ANNUAL,2023-02-07,2023-02-09,Leave request,PENDING,
LR_E0025_02_2023,E0025,SICK,2023-02-14,2023-02-14,Leave request,PENDING,
LR_E0027_02_2023,E0027,ANNUAL,2023-02-13,2023-02-13,Leave request,PENDING,
LR_E0028_02_2023,E0028,ANNUAL,2023-02-01,2023-02-03,Leave request,PENDING,
LR_E0039_02_2023,E0039,ANNUAL,2023-02-15,2023-02-15,Leave request,PENDING,
LR_E0040_02_2023,E0040,ANNUAL,2023-02-19,2023-02-21,Leave request,PENDING,
LR_E0061_02_2023,E0061,SICK,2023-02-02,2023-02-04,Leave request,PENDING,
LR_E0086_02_2023,E0086,ANNUAL,2023-02-12,2023-02-14,Leave request,PENDING,
LR_E0088_02_2023,E0088,SICK,2023-02-12,2023-02-13,Leave request,PENDING,
LR_E0094_02_2023,E0094,SICK,2023-02-01,2023-02-02,Leave request,PENDING,
LR_E0097_02_2023,E0097,ANNUAL,2023-02-16,2023-02-18,Leave request,PENDING,
LR_E0101_02_2023,E0101,ANNUAL,2023-02-19,2023-02-19,Leave request,PENDING,
LR_E0117_02_2023,E0117,SICK,2023-02-18,2023-02-19,Leave request,PENDING,
LR_E0138_02_2023,E0138,ANNUAL,2023-02-10,2023-02-12,Leave request,PENDING,
LR_E0145_02_2023,E0145,ANNUAL,2023-02-13,2023-02-14,Leave request,PENDING,
LR_E0153_02_2023,E0153,SICK,2023-02-09,2023-02-09,Leave request,PENDING,
LR_E0163_02_2023,E0163,ANNUAL,2023-02-06,2023-02-08,Leave request,PENDING,
LR_E0173_02_2023,E0173,SICK,2023-02-09,2023-02-10,Leave request,PENDING,
LR_E0174_02_2023,E0174,SICK,2023-02-18,2023-02-18,Leave request,PENDING,
LR_E0178_02_2023,E0178,SICK,2023-02-02,2023-02-03,Leave request,PENDING,
LR_E0184_02_2023,E0184,SICK,2023-02-10,2023-02-12,Leave request,PENDING,
LR_E0206_02_2023,E0206,ANNUAL,2023-02-08,2023-02-08,Leave request,PENDING,
LR_E0212_02_2023,E0212,ANNUAL,2023-02-08,2023-02-10,Leave request,PENDING,
LR_E0237_02_2023,E0237,ANNUAL,2023-02-05,2023-02-07,Leave request,PENDING,
LR_E0246_02_2023,E0246,SICK,2023-02-04,2023-02-06,Leave request,PENDING,
LR_E0256_02_2023,E0256,SICK,2023-02-09,2023-02-11,Leave request,PENDING,
LR_E0259_02_2023,E0259,SICK,2023-02-06,2023-02-07,Leave request,PENDING,
LR_E0262_02_2023,E0262,ANNUAL,2023-02-08,2023-02-09,Leave request,PENDING,
LR_E0271_02_2023,E0271,SICK,2023-02-11,2023-02-12,Leave request,PENDING,
LR_E0287_02_2023,E0287,ANNUAL,2023-02-02,2023-02-04,Leave request,PENDING,
LR_E0296_02_2023,E0296,ANNUAL,2023-02-15,2023-02-17,Leave request,PENDING,
LR_E0318_02_2023,E0318,SICK,2023-02-20,2023-02-20,Leave request,PENDING,
LR_E0319_02_2023,E0319,SICK,2023-02-18,2023-02-20,Leave request,PENDING,
LR_E0321_02_2023,E0321,SICK,2023-02-11,2023-02-13,Leave request,PENDING,
LR_E0328_02_2023,E0328,SICK,2023-02-15,2023-02-17,Leave request,PENDING,
LR_E0335_02_2023,E0335,ANNUAL,2023-02-07,2023-02-07,Leave request,PENDING,
LR_E0337_02_2023,E0337,SICK,2023-02-04,2023-02-04,Leave request,PENDING,
LR_E0361_02_2023,E0361,ANNUAL,2023-02-14,2023-02-14,Leave request,PENDING,
LR_E0365_02_2023,E0365,ANNUAL,2023-02-09,2023-02-11,Leave request,PENDING,
LR_E0393_02_2023,E0393,SICK,2023-02-07,2023-02-09,Leave request,PENDING,
LR_E0396_02_2023,E0396,ANNUAL,2023-02-19,2023-02-19,Leave request,PENDING,
LR_E0408_02_2023,E0408,ANNUAL,2023-02-09,2023-02-09,Leave request,PENDING,
LR_E0414_02_2023,E0414,ANNUAL,2023-02-09,2023-02-10,Leave request,PENDING,
LR_E0419_02_2023,E0419,SICK,2023-02-16,2023-02-16,Leave request,PENDING,
LR_E0421_02_2023,E0421,ANNUAL,2023-02-14,2023-02-15,Leave request,PENDING,
LR_E0428_02_2023,E0428,ANNUAL,2023-02-17,2023-02-17,Leave request,PENDING,
LR_E0431_02_2023,E0431,ANNUAL,2023-02-08,2023-02-08,Leave request,PENDING,
LR_E0433_02_2023,E0433,SICK,2023-02-13,2023-02-15,Leave request,PENDING,
LR_E0443_02_2023,E0443,ANNUAL,2023-02-16,2023-02-16,Leave request,PENDING,
LR_E0444_02_2023,E0444,ANNUAL,2023-02-09,2023-02-11,Leave request,PENDING,
LR_E0450_02_2023,E0450,ANNUAL,2023-02-14,2023-02-16,Leave request,PENDING,
LR_E0468_02_2023,E0468,SICK,2023-02-14,2023-02-14,Leave request,PENDING,
LR_E0475_02_2023,E0475,SICK,2023-02-18,2023-02-20,Leave request,PENDING,
LR_E0486_02_2023,E0486,ANNUAL,2023-02-20,2023-02-20,Leave request,PENDING,
LR_E0514_02_2023,E0514,ANNUAL,2023-02-09,2023-02-10,Leave request,PENDING,
LR_E0516_02_2023,E0516,SICK,2023-02-11,2023-02-11,Leave request,PENDING,
LR_E0532_02_2023,E0532,SICK,2023-02-06,2023-02-06,Leave request,PENDING,
LR_E0533_02_2023,E0533,SICK,2023-02-14,2023-02-15,Leave request,PENDING,
LR_E0542_02_2023,E0542,SICK,2023-02-16,2023-02-16,Leave request,PENDING,
LR_E0549_02_2023,E0549,SICK,2023-02-15,2023-02-15,Leave request,PENDING,
LR_E0562_02_2023,E0562,ANNUAL,2023-02-11,2023-02-13,Leave request,PENDING,
LR_E0576_02_2023,E0576,ANNUAL,2023-02-17,2023-02-19,Leave request,PENDING,
LR_E0577_02_2023,E0577,SICK,2023-02-19,2023-02-21,Leave request,PENDING,
LR_E0579_02_2023,E0579,ANNUAL,2023-02-08,2023-02-10,Leave request,PENDING,
LR_E0587_02_2023,E0587,ANNUAL,2023-02-18,2023-02-18,Leave request,PENDING,
LR_E0588_02_2023,E0588,ANNUAL,2023-02-13,2023-02-15,Leave request,PENDING,
LR_E0604_02_2023,E0604,ANNUAL,2023-02-10,2023-02-11,Leave request,PENDING,
LR_E0628_02_2023,E0628,ANNUAL,2023-02-08,2023-02-09,Leave request,PENDING,
LR_E0632_02_2023,E0632,ANNUAL,2023-02-15,2023-02-15,Leave request,PENDING,
LR_E0633_02_2023,E0633,ANNUAL,2023-02-06,2023-02-08,Leave request,PENDING,
LR_E0639_02_2023,E0639,ANNUAL,2023-02-07,2023-02-08,Leave request,PENDING,
LR_E0643_02_2023,E0643,SICK,2023-02-19,2023-02-19,Leave request,PENDING,
LR_E0653_02_2023,E0653,SICK,2023-02-05,2023-02-06,Leave request,PENDING,
LR_E0663_02_2023,E0663,ANNUAL,2023-02-07,2023-02-08,Leave request,PENDING,
LR_E0665_02_2023,E0665,ANNUAL,2023-02-03,2023-02-04,Leave request,PENDING,
LR_E0670_02_2023,E0670,SICK,2023-02-02,2023-02-02,Leave request,PENDING,
LR_E0687_02_2023,E0687,SICK,2023-02-09,2023-02-09,Leave request,PENDING,
LR_E0701_02_2023,E0701,ANNUAL,2023-02-09,2023-02-10,Leave request,PENDING,
LR_E0707_02_2023,E0707,ANNUAL,2023-02-14,2023-02-16,Leave request,PENDING,
LR_E0717_02_2023,E0717,SICK,2023-02-14,2023-02-15,Leave request,PENDING,
LR_E0723_02_2023,E0723,ANNUAL,2023-02-04,2023-02-04,Leave request,PENDING,
LR_E0755_02_2023,E0755,SICK,2023-02-09,2023-02-09,Leave request,PENDING,
LR_E0773_02_2023,E0773,ANNUAL,2023-02-17,2023-02-19,Leave request,PENDING,
LR_E0787_02_2023,E0787,SICK,2023-02-14,2023-02-16,Leave request,PENDING,
LR_E0789_02_2023,E0789,ANNUAL,2023-02-15,2023-02-16,Leave request,PENDING,
LR_E0847_02_2023,E0847,ANNUAL,2023-02-19,2023-02-20,Leave request,PENDING,
LR_E0875_02_2023,E0875,ANNUAL,2023-02-11,2023-02-12,Leave request,PENDING,
LR_E0882_02_2023,E0882,SICK,2023-02-02,2023-02-03,Leave request,PENDING,
LR_E0884_02_2023,E0884,ANNUAL,2023-02-16,2023-02-18,Leave request,PENDING,
LR_E0890_02_2023,E0890,SICK,2023-02-02,2023-02-02,Leave request,PENDING,
LR_E0895_02_2023,E0895,SICK,2023-02-04,2023-02-06,Leave request,PENDING,
LR_E0897_02_2023,E0897,SICK,2023-02-05,2023-02-06,Leave request,PENDING,
LR_E0916_02_2023,E0916,ANNUAL,2023-02-19,2023-02-20,Leave request,PENDING,
LR_E0918_02_2023,E0918,SICK,2023-02-14,2023-02-15,Leave request,PENDING,
LR_E0930_02_2023,E0930,SICK,2023-02-08,2023-02-10,Leave request,PENDING,
LR_E0950_02_2023,E0950,SICK,2023-02-12,2023-02-14,Leave request,PENDING,
LR_E0961_02_2023,E0961,ANNUAL,2023-02-11,2023-02-12,Leave request,PENDING,
LR_E0987_02_2023,E0987,SICK,2023-02-07,2023-02-09,Leave request,PENDING,
LR_E0988_02_2023,E0988,SICK,2023-02-14,2023-02-14,Leave request,PENDING,
LR_E1008_02_2023,E1008,SICK,2023-02-06,2023-02-07,Leave request,PENDING,
LR_E1021_02_2023,E1021,ANNUAL,2023-02-02,2023-02-02,Leave request,PENDING,
LR_E1046_02_2023,E1046,ANNUAL,2023-02-08,2023-02-10,Leave request,PENDING,
LR_E1056_02_2023,E1056,ANNUAL,2023-02-05,2023-02-05,Leave request,PENDING,
LR_E1068_02_2023,E1068,ANNUAL,2023-02-03,2023-02-05,Leave request,PENDING,
LR_E1084_02_2023,E1084,SICK,2023-02-09,2023-02-11,Leave request,PENDING,
LR_E1085_02_2023,E1085,SICK,2023-02-13,2023-02-13,Leave request,PENDING,
LR_E1090_02_2023,E1090,ANNUAL,2023-02-18,2023-02-19,Leave request,PENDING,
LR_E1096_02_2023,E1096,SICK,2023-02-05,2023-02-06,Leave request,PENDING,
LR_E1104_02_2023,E1104,SICK,2023-02-10,2023-02-11,Leave request,PENDING,
LR_E1112_02_2023,E1112,SICK,2023-02-11,2023-02-13,Leave request,PENDING,
LR_E1113_02_2023,E1113,ANNUAL,2023-02-05,2023-02-06,Leave request,PENDING,
LR_E1127_02_2023,E1127,ANNUAL,2023-02-09,2023-02-10,Leave request,PENDING,
LR_E1134_02_2023,E1134,SICK,2023-02-18,2023-02-19,Leave request,PENDING,
LR_E1138_02_2023,E1138,ANNUAL,2023-02-11,2023-02-12,Leave request,PENDING,
LR_E1143_02_2023,E1143,ANNUAL,2023-02-11,2023-02-13,Leave request,PENDING,
LR_E1155_02_2023,E1155,SICK,2023-02-09,2023-02-09,Leave request,PENDING,
LR_E1174_02_2023,E1174,SICK,2023-02-15,2023-02-15,Leave request,PENDING,
LR_E1186_02_2023,E1186,SICK,2023-02-11,2023-02-11,Leave request,PENDING,
LR_E0059_03_2023,E0059,ANNUAL,2023-03-12,2023-03-12,Leave request,PENDING,
LR_E0084_03_2023,E0084,SICK,2023-03-10,2023-03-11,Leave request,PENDING,
LR_E0094_03_2023,E0094,SICK,2023-03-17,2023-03-19,Leave request,PENDING,
LR_E0099_03_2023,E0099,ANNUAL,2023-03-17,2023-03-19,Leave request,PENDING,
LR_E0109_03_2023,E0109,SICK,2023-03-10,2023-03-10,Leave request,PENDING,
LR_E0124_03_2023,E0124,SICK,2023-03-20,2023-03-21,Leave request,PENDING,
LR_E0132_03_2023,E0132,SICK,2023-03-20,2023-03-20,Leave request,PENDING,
LR_E0135_03_2023,E0135,ANNUAL,2023-03-02,2023-03-03,Leave request,PENDING,
LR_E0142_03_2023,E0142,SICK,2023-03-06,2023-03-06,Leave request,PENDING,
LR_E0144_03_2023,E0144,ANNUAL,2023-03-19,2023-03-19,Leave request,PENDING,
LR_E0154_03_2023,E0154,ANNUAL,2023-03-12,2023-03-12,Leave request,PENDING,
LR_E0158_03_2023,E0158,SICK,2023-03-14,2023-03-14,Leave request,PENDING,
LR_E0170_03_2023,E0170,SICK,2023-03-02,2023-03-02,Leave request,PENDING,
LR_E0181_03_2023,E0181,SICK,2023-03-03,2023-03-05,Leave request,PENDING,
LR_E0187_03_2023,E0187,ANNUAL,2023-03-12,2023-03-14,Leave request,PENDING,
LR_E0205_03_2023,E0205,ANNUAL,2023-03-16,2023-03-16,Leave request,PENDING,
LR_E0209_03_2023,E0209,SICK,2023-03-08,2023-03-09,Leave request,PENDING,
LR_E0213_03_2023,E0213,ANNUAL,2023-03-03,2023-03-03,Leave request,PENDING,
LR_E0217_03_2023,E0217,ANNUAL,2023-03-06,2023-03-07,Leave request,PENDING,
LR_E0228_03_2023,E0228,SICK,2023-03-13,2023-03-15,Leave request,PENDING,
LR_E0231_03_2023,E0231,ANNUAL,2023-03-07,2023-03-08,Leave request,PENDING,
LR_E0236_03_2023,E0236,SICK,2023-03-07,2023-03-09,Leave request,PENDING,
LR_E0248_03_2023,E0248,SICK,2023-03-17,2023-03-17,Leave request,PENDING,
LR_E0251_03_2023,E0251,SICK,2023-03-06,2023-03-06,Leave request,PENDING,
LR_E0257_03_2023,E0257,SICK,2023-03-05,2023-03-07,Leave request,PENDING,
LR_E0260_03_2023,E0260,SICK,2023-03-19,2023-03-19,Leave request,PENDING,
LR_E0261_03_2023,E0261,ANNUAL,2023-03-08,2023-03-10,Leave request,PENDING,
LR_E0263_03_2023,E0263,ANNUAL,2023-03-20,2023-03-20,Leave request,PENDING,
LR_E0270_03_2023,E0270,ANNUAL,2023-03-14,2023-03-15,Leave request,PENDING,
LR_E0279_03_2023,E0279,SICK,2023-03-13,2023-03-15,Leave request,PENDING,
LR_E0297_03_2023,E0297,ANNUAL,2023-03-15,2023-03-15,Leave request,PENDING,
LR_E0320_03_2023,E0320,SICK,2023-03-14,2023-03-15,Leave request,PENDING,
LR_E0341_03_2023,E0341,ANNUAL,2023-03-10,2023-03-11,Leave request,PENDING,
LR_E0346_03_2023,E0346,SICK,2023-03-16,2023-03-18,Leave request,PENDING,
LR_E0366_03_2023,E0366,ANNUAL,2023-03-02,2023-03-02,Leave request,PENDING,
LR_E0368_03_2023,E0368,SICK,2023-03-20,2023-03-21,Leave request,PENDING,
LR_E0378_03_2023,E0378,ANNUAL,2023-03-19,2023-03-21,Leave request,PENDING,
LR_E0397_03_2023,E0397,ANNUAL,2023-03-18,2023-03-18,Leave request,PENDING,
LR_E0412_03_2023,E0412,SICK,2023-03-15,2023-03-15,Leave request,PENDING,
LR_E0413_03_2023,E0413,ANNUAL,2023-03-03,2023-03-03,Leave request,PENDING,
LR_E0414_03_2023,E0414,ANNUAL,2023-03-18,2023-03-20,Leave request,PENDING,
LR_E0415_03_2023,E0415,ANNUAL,2023-03-07,2023-03-07,Leave request,PENDING,
LR_E0416_03_2023,E0416,ANNUAL,2023-03-12,2023-03-13,Leave request,PENDING,
LR_E0438_03_2023,E0438,SICK,2023-03-11,2023-03-12,Leave request,PENDING,
LR_E0440_03_2023,E0440,ANNUAL,2023-03-13,2023-03-14,Leave request,PENDING,
LR_E0470_03_2023,E0470,ANNUAL,2023-03-19,2023-03-19,Leave request,PENDING,
LR_E0485_03_2023,E0485,SICK,2023-03-04,2023-03-05,Leave request,PENDING,
LR_E0487_03_2023,E0487,ANNUAL,2023-03-11,2023-03-12,Leave request,PENDING,
LR_E0489_03_2023,E0489,ANNUAL,2023-03-04,2023-03-06,Leave request,PENDING,
LR_E0492_03_2023,E0492,SICK,2023-03-03,2023-03-05,Leave request,PENDING,
LR_E0496_03_2023,E0496,ANNUAL,2023-03-05,2023-03-06,Leave request,PENDING,
LR_E0502_03_2023,E0502,ANNUAL,2023-03-12,2023-03-13,Leave request,PENDING,
LR_E0508_03_2023,E0508,ANNUAL,2023-03-03,2023-03-03,Leave request,PENDING,
LR_E0510_03_2023,E0510,SICK,2023-03-14,2023-03-16,Leave request,PENDING,
LR_E0511_03_2023,E0511,ANNUAL,2023-03-02,2023-03-03,Leave request,PENDING,
LR_E0519_03_2023,E0519,SICK,2023-03-04,2023-03-06,Leave request,PENDING,
LR_E0550_03_2023,E0550,ANNUAL,2023-03-06,2023-03-07,Leave request,PENDING,
LR_E0556_03_2023,E0556,SICK,2023-03-08,2023-03-08,Leave request,PENDING,
LR_E0558_03_2023,E0558,ANNUAL,2023-03-18,2023-03-18,Leave request,PENDING,
LR_E0560_03_2023,E0560,ANNUAL,2023-03-18,2023-03-18,Leave request,PENDING,
LR_E0568_03_2023,E0568,SICK,2023-03-18,2023-03-20,Leave request,PENDING,
LR_E0569_03_2023,E0569,SICK,2023-03-10,2023-03-12,Leave request,PENDING,
LR_E0587_03_2023,E0587,SICK,2023-03-16,2023-03-18,Leave request,PENDING,
LR_E0596_03_2023,E0596,SICK,2023-03-01,2023-03-02,Leave request,PENDING,
LR_E0607_03_2023,E0607,ANNUAL,2023-03-03,2023-03-05,Leave request,PENDING,
LR_E0616_03_2023,E0616,SICK,2023-03-14,2023-03-14,Leave request,PENDING,
